householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t29,pctWWage,pctWSocSec,pctWPubAsst,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctPopUnderPov,PctNotHSGrad,PctUnemployed,MalePctNevMarr,TotalPctDiv,PctKidsBornNeverMar,PctImmigRec5,PctPersDenseHous,MedRentPctHousInc,PctSameCity85,PopDens,ViolentCrimesPerPop,nonViolPerPop
2.14,52.54,46.2,0.58,0.62,24.32,72.84,28.18,11.63,13000,15998,10322,6624,30390,12545,8681,17.28,19.13,8.8,39.81,15.18,8.16,22.59,1.23,27,89.72,8836.4,2586.29,5575.77
2.35,0.51,99.02,0.3,0.42,20.47,70.02,37.82,2.43,17917,17944,19955,5400,6711,529,25639,6.66,13.26,4.11,25.15,7.82,0.55,11.61,0.36,26.3,93.17,4243.8,42.54,843.73
2.45,7.45,92.17,0.22,0.36,21.79,66.9,41.52,7.19,12676,13126,7644,5218,3012,0,18640,9.99,22.32,7.39,27,8.02,2.24,4.26,0.79,25.8,96.59,1611.7,469.8,4317.93
2.54,3.88,94.36,0.28,2.26,26.88,73.82,36,8.83,11723,11858,10197,6174,8013,6880,5206,10.77,38.35,5.25,29.76,12.52,4.7,51.56,1.64,27.3,90.57,4299,519.3,4102.48
2.88,5.82,84.31,4.03,14.51,26.18,78.35,32.75,5.42,15024,16038,8252,500,13567,8163,10399,8.35,30.57,6.58,32.57,7.78,3.95,21.4,4.29,25.2,82.28,4209.8,462.84,3479.12
2.8,18.26,73.47,2.73,11.34,27.85,81.52,29.25,5.53,15452,16997,10918,3755,20640,9005,8721,8.11,26.45,6.58,34.99,10.84,8.37,32.53,5.91,29.4,79.74,5191.4,669.13,4520.89
2.83,2.21,91.69,5.95,1.9,19.12,81.91,30.53,1,27754,28122,22465,0,23175,45400,23889,1.54,6.02,2.24,23.85,4.9,0.61,34.01,0.39,29.1,84.73,3858.7,78.88,1507.45
2.27,26.41,68.87,1.78,5.86,22.64,71.06,36.8,5.88,19091,22611,10713,32460,11397,15015,12526,9.71,23.97,6.12,38.09,13.32,5.69,24.97,3.29,27.3,86.39,5733.1,458.81,6696.6
2.51,1.35,90.5,3.32,15.5,27.33,76.62,32.13,3.63,14935,15318,10337,3812,14882,9296,12145,8.72,38.64,7.65,36.08,7.63,2.91,25.42,5.7,29.3,74.43,12274.7,310.65,2776.99
2.8,17.32,76.3,5.13,3.47,24.59,92.12,15.47,2.38,20597,22618,13530,13348,15864,14170,16261,1.49,10.4,3.47,26.25,8.01,1.12,13.03,1.91,23.9,65.14,764.2,232.79,3101.3
2.69,3.94,93.77,1.15,7.53,25.31,75.17,35.93,4.32,16186,16666,9170,0,11422,4734,10125,6.76,35.42,5.74,32.28,6.87,1.28,31.13,3.27,27.4,86.31,4687.1,272.83,1744.69
3.06,6.33,87.83,4.01,4.42,24.68,87.14,25.67,2.51,18046,18320,18140,28089,13554,13070,15750,2.79,19.05,4.53,28.97,6.04,0.94,11.8,1.42,26.7,85.5,2365.9,251.32,4846.13
2.54,5.71,92.18,1.57,1.13,33.27,76.05,29.47,5.82,13797,14268,7146,8857,10811,4507,5670,9.85,24.39,3.54,38.52,10.01,2.62,17.6,1.14,24.4,70.68,3278.3,352.5,3367.18
3.22,0.79,88.23,10.48,3.65,22.82,85.83,29.97,0.97,22202,22487,12219,3000,20770,13526,19034,3.04,14.6,3.68,29.67,4.56,0.77,24.11,1.32,23.9,87.43,2308.3,407.57,13627.73
2.56,11.95,81.1,3.83,8.09,27.85,79.97,29.41,4.74,17804,19148,12216,15179,13320,10642,10481,5.73,21.7,5.46,36.56,10.43,4.16,39.97,4.11,27.3,77.18,4755.5,220.3,4658.94
2.55,6.59,89.35,3.51,3.09,24.17,78.54,31.84,4.25,20951,21458,15968,18444,16777,21354,16689,2.34,17.02,3.65,30.25,8.15,1.57,16.3,1.03,29.9,85.97,4347.4,86.9,2056.58
2.67,38.03,56.42,2.63,11.44,26.19,79.64,29.84,5.99,16966,18547,14909,14507,18164,12432,12254,5.31,22.6,7.62,34.85,10.66,5.07,14.76,4.88,24.2,83.65,7422.5,483.61,3032.21
2.36,16.16,80.24,2.18,3.2,33.32,86.84,18.01,5.89,14745,14789,15560,3353,11010,11261,16451,7.82,21.47,6.25,35.29,14.09,5.33,34.44,3.08,24.9,76.15,4583.1,602.9,5151.53
2.1,1.31,77.21,20.33,5.56,19.08,75.25,30.35,2.78,31758,34683,23706,0,22487,12568,17705,5.99,15.14,4.77,27.18,9.25,0.67,40.53,4.06,25,70.42,12212.6,425.03,3378.53
2.63,7.75,88.71,0.38,8.78,26.39,72.88,37.7,8.35,11911,12365,8148,24451,15175,7576,8533,10.36,37.82,8.35,33.68,11.29,3.37,16.92,2.48,27.9,93.66,5793.4,840.18,4256.3
2.32,0.23,98.62,1.03,0.48,21,66.73,40.45,4.92,15356,15381,471,0,21299,5060,10741,9.08,20.25,4.06,28.09,8.61,0.79,12.5,0.7,25,90.25,6527.6,130.17,3087.94
2.94,4.44,91.87,2.88,2.81,33.74,82.04,25.21,2.09,28597,29890,13862,1500,14133,9541,10785,3.74,12.51,3.51,40.15,6.2,1.08,20.56,1.54,24.7,68.02,3651.4,50.49,1609.44
2.94,1.18,96.83,1.33,2.73,24.45,79.74,36.13,3.57,17940,18057,1440,0,20438,15000,14602,3.09,31.91,3.91,32.47,5.82,0.4,9.83,0.58,23.8,89.77,2458.9,182.15,4908.45
2.59,6.09,88.43,4.7,2.83,21.71,80.79,29.11,2,23174,23987,17303,0,16540,15555,15989,2.9,14.54,3.14,28.14,7.56,1.81,16.88,1.2,26.5,86.32,4511,183.56,2699.81
3.11,18.53,78.72,1.5,2.89,39.34,79.25,26.38,7.6,12684,13844,8091,37500,7793,9456,8773,14.31,24,8.11,44.46,8.77,6.2,29.9,2.87,26.3,65.48,1635.9,412.04,5133.34
2.66,0.59,95.96,2.93,3.48,20.02,76.66,35.92,3.18,22418,22539,13942,0,20361,13296,18964,2.94,18.7,3.76,25.72,5.63,0.38,15.29,0.85,28.3,86.49,5702.7,79.76,1885.47
2.32,1.81,88.15,7.45,10.94,24.38,75.39,31.84,4.94,23814,24561,18303,23237,20298,12276,18551,4.63,24.95,5.86,31.71,8.39,1.32,27.35,4.33,25.6,76.58,20417.5,124.14,1675.9
2.53,1.07,92.13,5.3,7.3,27.15,83.54,27.84,4.94,19197,19387,20251,14046,17467,12859,17276,3.34,21.14,5.37,33.96,8.23,1.02,21.52,2.92,24.4,82.97,10108.1,146.46,2489.79
2.59,1.38,97.49,0.88,0.86,20.42,77.79,30.4,1.71,28763,29055,13638,26941,33474,1165,12159,2.8,8.86,1.78,26.45,6.74,1.07,13.84,0.18,27,85.71,3969.1,68.71,3366.83
2.58,1.42,94.91,2.34,4.23,26.87,84.33,28.4,3.56,21036,20180,97458,0,13041,14405,15457,3.86,25.64,4.19,31.18,8.82,1.26,13.08,1.74,22.6,80.37,3578.6,236.22,4050.74
2.59,0.39,98.9,0.29,1.46,23.51,76.39,33.9,3.32,18770,18831,5301,27309,10533,15500,15346,3.14,18.86,4.48,28.94,8.84,0.82,6.15,1.07,30.3,84.46,4963.7,96.47,2744.13
2.38,5.16,93.4,1.12,0.92,24.64,77,32.79,4.26,17626,17914,15210,39000,9352,0,7032,3.39,12.09,3.84,31.53,9.18,1.61,14.39,0.87,25.9,84.57,9600,231.16,1832.19
3.07,1.08,96.2,2.32,2.72,23.77,91.05,18.42,1.55,23557,23735,24599,12418,16436,21872,16639,1.53,11.77,2.99,28.21,5.66,0.57,17.55,1.15,28.3,84.09,1345.8,24.59,696.61
2.44,0.23,95.53,3.47,6.03,22.97,75.42,38.4,3.74,18341,18694,24521,0,10080,11258,14875,3.43,26.69,4.71,29.91,6.77,1.15,11.85,1.57,22.4,82.67,5152.4,155.09,2629.54
2.3,8.49,84.84,4.99,5.5,26.85,83.86,24.39,3.41,20977,22232,14788,40380,12417,12170,13135,5.83,15.25,5.21,37.05,8.98,2.25,43.91,2.42,26.2,72.53,6974.3,84.88,2253.09
3.19,1.8,95.41,1.39,2.5,25.61,91.79,15.62,3.33,22273,22577,14838,8025,23092,13152,18707,1.74,10.49,5.57,29.61,6.06,0.69,7.45,1.09,27.5,80.7,487.8,15.03,1059.59
2.84,0.95,94.72,3.63,3.47,25.22,91.58,18.74,2.5,21189,21228,24617,71000,20487,11556,21854,1.6,17.16,3.8,28.91,9.2,1.75,19.55,1.37,26.6,65.57,1574.9,98.73,1337.28
2.78,4.19,83.92,9.09,9.21,24.06,81.97,32.46,3.68,18713,19198,16165,12524,16890,13932,13643,3.34,17.66,5.04,30.08,7.04,0.86,18.91,3.35,29.6,86.36,8160.3,151.91,1791
2.39,3.04,94.32,1.61,2.57,26.53,77.52,30.49,4.15,15535,15727,12685,20158,12488,9951,9075,6.09,17.6,3.63,34.91,11.82,2.4,27.37,1.47,26.9,81.56,8070.6,408.98,4817.69
2.66,1.04,98.08,0.77,0.49,21.33,79.82,28.84,1.75,17603,17657,10792,3968,22737,14067,10268,3.81,10.34,3.78,23.88,6.35,0.55,5.67,0.42,25.3,89.19,2793.2,58.24,1243.34
2.63,0.81,94.59,3.73,4.22,22.63,79.98,36.06,2.59,21339,21510,16345,0,16961,23422,24727,2.51,20.42,4.58,29.86,6.5,1,21.91,1.24,24.1,88.32,7345.3,84.88,3140.65
2.32,2.71,93.43,2.62,4.39,25.66,77.47,29.62,4.61,16521,16325,22450,24382,18272,13502,15177,5.18,30.42,8.03,31.42,9.45,1.56,25.04,2.72,22.2,84.68,10395.5,47.43,2921.92
2.5,66.07,31.89,1.23,0.89,23.07,78.39,30.11,7.23,15334,15458,15392,36460,13013,4263,12188,5.47,19.78,5.26,32.34,11.7,4.91,27.41,2.71,22.6,74.75,7175.4,354.96,4424.63
2.56,5.19,86.08,3.3,12.01,26.47,84.51,23.02,2.99,19031,19755,17052,13939,17352,10276,11168,3.66,16.81,3.76,31.89,9.68,2.04,17.91,3.96,25.7,67.99,6512.1,443.73,5737.58
2.69,0.93,97.69,0.91,1.59,26.54,81.26,31.51,3.96,14281,14278,15698,0,12646,14264,9713,4.34,32.12,5.28,29.97,9.68,1.68,1.83,2.76,21.2,88.82,4012.2,81.02,1531.36
2.74,3.23,93.11,3.02,4.01,26.87,82.54,26.26,3.02,18297,18400,17649,5855,15742,20324,16890,3.1,21.69,4.04,29.82,7.41,1.61,13.13,1.22,22.8,80.85,2092.8,284.21,2828.41
2.28,0.15,99.1,0.24,0.88,24.3,71.61,35.71,5.53,13856,13929,1651,0,6692,7649,7781,8.35,34.12,3.35,24.5,11.06,1.31,17.57,0.82,23.6,81.47,3807.6,133.68,4398.1
2.49,2.89,89.61,4.85,9.24,26.76,78.45,31.16,3.76,15542,15626,18154,0,15364,10684,10221,6.12,33.67,7.04,31.6,10.17,1.96,23.11,4.47,28,85.14,9533.9,206.88,3913.02
2.78,1.05,91.23,6.83,5.42,24.29,79.52,30.81,3.15,19349,19630,12992,0,16677,10722,17606,3.26,18.96,4.09,29.62,5.91,0.2,17.51,1.88,28.7,89.8,8359.4,57.31,1690.74
2.84,0.77,94.1,4.43,2.24,24.25,85.7,20.77,0.88,27262,27646,33862,26813,19284,15161,17581,2.46,6.7,3.75,27.15,6.65,0.54,17.51,0.8,28.8,83.09,2304.4,185.08,2796.82
2.6,0.61,90.3,8.42,3.51,20.17,76.55,34.72,1.97,23059,23557,25597,0,17879,15727,26020,2.38,13.63,2.93,26.31,5.81,0.29,16.93,1.72,28.1,85.8,5428.5,82.15,1579.19
2.5,0.42,97.93,1,3.1,24.39,77.8,34.1,1.6,19342,19284,109500,40500,13815,21236,24850,3.42,22.97,3.95,28.51,7.51,0.41,16.22,1.33,26.6,82.28,4854.5,77.05,2140.89
2.54,12.49,78.85,6.59,4.64,29.41,83.23,22.02,2.13,17679,18609,13072,22807,17274,9779,10591,5.14,14.77,4.16,33.04,10.45,3.29,24.31,2.74,25.1,68.54,2251.7,221.64,5411.19
2.95,17.71,77.25,1.09,7.57,49.7,83.53,21.32,6.29,13082,14170,9937,9220,16335,5731,6738,17.07,19.48,5.7,59.7,9.33,8.18,20.57,3.91,24.7,62.05,9469.3,465.66,4402.58
3.68,8.51,82.51,7.07,5.13,53.13,79.6,26.4,2.6,21551,24230,10497,10973,7315,5790,7352,9.64,11.6,3.21,67.29,5.92,2.58,48.52,2.85,23.6,41.08,6306.9,83.89,5041.52
2.66,3.01,89.39,6.45,5.78,26.56,79.61,33.05,2.85,20579,21350,13332,0,14364,14682,16028,3.68,16.92,4.17,35.32,7.38,1.33,22.23,2,24.9,79.74,6118.4,129.13,2094.09
2.7,0.54,94.18,4.9,2.7,21.33,84.14,25.1,2.04,29773,30089,43680,7250,26588,12518,16825,2.45,9.49,2.71,26.68,5.8,0.38,14.81,0.64,24.9,79.06,3001.1,49.56,1032.55
2.16,9.69,89.52,0.51,0.75,23.83,69.21,35.02,8.65,13164,13833,7680,234,9378,0,22816,12.53,21.74,6.62,35.59,11.16,2.99,15.57,0.65,24.4,92.84,8564.4,407.12,3739.82
2.54,7.16,85.63,2.46,9.3,29,83.02,18.7,5.45,13975,14758,9881,10548,8236,8313,8704,11.05,12.38,6.73,27.09,13.53,2.29,18.75,2.92,25.9,66.46,2032,510.78,5965.75
2.77,5.91,87.33,2.25,8.92,31.06,63.15,35.14,12.9,11018,11393,8365,7814,8834,8593,7793,15.23,24.21,7.16,32.34,12.16,1.98,15.02,6.08,26.2,47.99,16.3,1007.94,5920.63
2.82,4.82,61.64,26.37,19.39,26.29,82.17,22.72,5.77,17622,19632,15256,15338,14858,11579,12278,5.85,18.13,4.43,33.18,10.99,2.52,21.87,11.59,27.4,73.5,4522.6,377.37,3809.32
2.34,12.12,84.99,2.44,1.36,28.88,86.01,17.73,3.09,18251,19229,11735,0,17121,240,6270,6.51,11.12,3.2,29.28,12.09,3.68,31.78,1.17,24.4,47.49,1046.9,699.49,6028.22
3.1,1.37,91.78,6.5,1.88,21.44,89.24,23.62,1.03,29711,30233,13600,5725,27101,5115,22838,1.96,9.9,2.7,26.38,4.47,0.36,13,0.39,23.8,78.09,1845.9,41.02,1394.59
2.82,0.8,95.57,3.44,0.85,21.3,78.99,35.5,2.75,20148,20191,18137,0,20074,5250,12222,3.98,13.72,2.43,27.99,5.42,0.24,8.65,1.01,27.6,90.22,2186.7,127.56,1955.95
2.66,0.63,97.81,0.83,2.58,23.58,73.79,34.09,3.6,16523,16562,9763,14924,17930,14351,13815,3.74,20.23,5.55,25.37,7.69,1.03,11.78,1.31,32.6,77.21,2441,131.47,2543.13
2.82,2.55,97.01,0.28,0.36,21.82,73.7,32.15,5.23,14243,13832,12981,5114,106165,4091,5742,8.79,25.83,5.41,22.04,8.48,1.16,3.85,1.2,24.3,91.08,369.6,452.4,3389.19
2.79,11.1,83.79,4.57,2.83,23.62,85.08,24.94,2.35,27093,28517,18729,40576,21945,13857,17816,1.49,12.02,3.75,27.54,6.47,0.67,14.28,0.92,23.5,81.71,2250.1,115.14,2160.1
2.91,0.69,98.03,0.43,1.3,26.88,87.81,17.54,5.63,16750,16833,8975,12763,21196,11203,10504,4.36,16.57,6.2,26.86,10.75,2.64,8.84,2.06,23.8,87.87,648.8,?,3577.58
2.94,7.36,88.58,2.67,3.69,34.05,87.6,18.29,3.11,16302,16234,17942,15871,16840,10114,12351,4.35,18.12,4.1,36.33,9.3,2.48,13.09,2.19,24.3,66.89,249.1,251.24,3668.03
2.29,0.59,97.87,1.37,0.55,23.8,78.61,30.83,2.46,18380,17805,13019,1750,57759,5100,17215,4.13,16.84,3.05,31.24,7.8,0.77,10.27,0.64,21.6,88.89,4180.8,40.21,1654.22
2.52,16.58,78.17,4.04,2.1,38.26,90.23,10.11,3.63,16936,17590,14319,18757,15891,10425,11734,9.33,12.12,3.78,42.59,11.31,5.53,31.93,2.54,24.5,60.74,606.6,?,8642.72
2.47,3.03,93.76,1.36,3.4,23.25,76.78,30.74,4.14,18645,19257,11353,0,6595,9899,9070,6.27,21.66,3.31,24.65,9.55,1.77,25.43,1.16,25.1,82.92,2104.5,74.56,3183.72
2.82,0.76,98.02,0.81,2.23,24.91,88.72,17.62,2.86,19810,19860,14616,31077,14199,27302,19877,2.43,12.9,2.94,27.12,8.64,0.58,3.6,1.18,28,80.14,422.4,70.4,1348.5
2.71,11.07,80.05,6.81,5.81,29.96,87.07,20.78,3.06,21734,22709,16857,15970,21284,12197,14576,2.67,16.13,3.08,34.89,8.91,2.71,26.12,2.88,24.9,73.61,2508.1,288.37,3647.57
2.9,2.27,96.66,0.62,0.64,27.09,86.71,20.2,2.79,13384,13296,15266,17951,10909,23849,14375,4.1,22.08,4.98,24.86,10.18,1.54,18.75,1.87,23.2,89.06,401.2,240.92,2078.51
2.93,0.36,99.14,0.41,0.52,25.04,82.63,27.68,4.84,16176,16165,20783,35463,16641,585,9802,3.15,19.5,3.4,27.77,7.02,0.81,7.24,0.97,24,92.93,2534.6,267.33,2008.22
2.63,0.22,98.95,0.7,0.45,22.15,78.49,32.15,2.63,16029,16034,22291,10500,14612,11771,20930,2.95,17.7,3.8,24.86,5.69,0.41,16.99,0.49,21.8,94.82,2653.4,80.5,1236.48
2.99,0.44,99.17,0.17,0.22,28.07,87.45,21.19,4.92,11216,11224,14904,2166,0,15000,15000,8.41,37.21,5.71,22.51,10.01,1.33,33.33,2.73,24.1,79.11,355.3,69,1694.27
2.76,13.09,84.93,1.09,1.5,22.94,75.38,33.83,5.91,13547,14339,8240,18105,17324,5722,5110,7.99,30.12,7.94,25.18,10.19,4.4,32.8,2.73,25.3,83.91,200,231.48,4027.78
2.56,5.97,90.82,2.63,1.65,25.55,88.27,17.44,1.47,23248,23110,21232,25762,34192,8459,16332,1.99,10.1,2.55,26.22,9.21,0.56,10.08,0.64,24.4,68.41,1339.6,103.28,2149.5
3.17,18.69,76.63,3.42,3.27,33.08,85.12,27.67,2.1,30465,32613,23417,6689,28922,8649,14173,3.03,9.98,3.64,43.96,6.55,1.38,17.64,1.26,28.5,72.2,5529.7,672.35,7311.8
2.74,8.16,89.99,0.26,2.08,27.24,74.51,26.39,11.82,12531,12936,8902,10072,9096,5087,7505,13.77,27.6,11.36,25.79,12.9,3.74,7.24,2.51,35.1,93.41,791.2,?,3470.01
2.71,1.72,94.97,3.05,1.92,20.83,87.4,17.4,1.51,33458,34046,17546,20100,24908,7926,31761,1.52,6.81,2.86,28.01,7.89,0.27,13.34,0.3,25.1,56.66,691.9,75.72,1216.94
2.83,0.79,96.23,2.5,1.9,23.03,89.13,14.7,1.45,24637,24568,36042,480000,18511,15913,13756,2.31,10.04,2.46,23.73,7.12,0.73,23.45,0.6,24.4,56.97,398.2,56.31,2239.74
2.6,5.43,92.39,1.49,1.62,25.2,73.92,34.75,2.88,18304,19413,2510,26682,8437,2455,9649,3.65,16.98,2.17,32.84,10.35,0.95,27.63,0.56,23.7,71.76,1431.1,96.69,2604.1
3.29,56.07,39.68,1.92,5.3,27.52,91.96,21.51,4.48,15774,17385,14957,9258,10673,11666,12254,4.47,15.27,5.61,31.31,9.98,4.06,11.7,2.68,28.8,78.11,4547.1,293.41,3459.04
2.62,1.2,96.79,0.76,1.37,24.58,78.38,29.35,10.29,13424,13608,7416,2154,8815,16932,8926,11.94,24.27,8.18,23.81,13,1.57,27.08,1.83,26.4,86.76,322.2,?,5453.07
2.58,0.41,99.05,0.36,0.34,21.26,70.25,35.89,5.42,14716,14603,15156,20509,37688,1016,6290,7.56,20.07,5.17,24.59,7.62,0.73,0,0.56,23.9,91.39,788.6,52.95,1879.8
2.12,1.04,98.45,0.24,1.5,11.33,40.42,72.15,3.56,13854,13893,11843,9239,21719,10649,10887,4.57,38.7,7.32,14.11,4.41,0.51,0.37,0.52,35.1,69.44,839.6,106.68,2016.5
2.48,3.04,92.46,4.19,1.01,26.27,76.74,32.28,5.62,15497,15771,16630,13313,8922,17210,14322,6.99,19.96,4.78,33,8.53,1.83,25.46,1.96,26.2,84.42,9963.3,283.39,3105.21
2.72,1.06,95.63,2.65,3.4,24.41,82.98,30.69,4.91,19070,18925,19009,15472,27917,10221,16213,3.77,22.79,5.56,29.1,6.68,0.45,14.63,1.31,24.8,86.09,4712.2,86.45,3385.92
2.83,0.66,95.64,3.31,1.9,23.61,86.81,25.14,3.37,25054,25154,14445,0,21978,35640,17507,2.06,11.87,2.73,29.24,7.02,0.52,14.92,0.82,29.7,82.91,1101.5,160.76,1579.65
2.51,0.39,98.35,0.49,2.12,19.25,71.38,40.26,3.23,15366,15481,1580,0,7547,5048,6159,5.71,28.14,3.05,21.78,7.66,0.47,10.32,0.69,27.4,93.99,1047.1,155.62,3906.01
2.38,0.82,97.89,1,0.98,21.7,73.55,39.57,3.84,18400,18462,12468,20116,15794,34286,17337,3.75,17.21,2.28,28.2,9.14,1.35,16.93,0.72,26.8,90.72,5324,310.48,4482.54
2.6,0.5,98.33,0.85,0.77,25.36,76.83,29.37,4.04,15745,15780,13477,2624,22316,7500,8298,6.1,23.91,3.62,25.9,9.67,1.29,8.11,1.24,26.4,91.14,576.4,92.08,2075.36
2.77,2.09,97.32,0.5,0.47,23.77,80.49,28.28,3.99,13945,14052,11027,0,0,10941,15626,4.07,18.18,4.72,23.89,7.18,0.64,6.76,0.75,21.6,90.44,673.2,73.23,421.09
2.58,70.33,23.96,1.29,10.82,28.12,75.47,27.98,11.73,12812,15222,12132,7432,14185,10543,10247,17.8,34.43,9.74,42.97,14.8,12.66,26.35,8.77,27.5,88.72,13083.7,2594.03,9360.21
2.71,5.24,90.35,3.72,2.66,24.68,85.51,20.77,2.61,22054,22693,16270,0,17237,10012,13573,3.2,13.96,4.61,28.98,8.6,1.13,27.74,1.52,24.9,84.65,2190.2,228.86,4519.97
2.95,13.65,85.37,0.22,1.3,28.72,86.64,19.75,5.47,13206,13350,12070,23588,13543,6830,14977,7.64,31.06,9.78,27.69,12.2,1.9,3.45,3.98,21.9,83.06,279.8,?,3038.43
2.67,2.83,93.93,2.34,3.34,30.09,91.24,13.15,1.75,19655,19823,17092,27076,16246,18217,14486,2.77,11.38,3.64,30.05,9.67,1.12,24.16,1.37,22.5,73.38,674.7,185.97,1560.37
3.14,1.34,94.55,3.56,2.52,25.19,87.79,19.95,2.48,20564,20718,20181,15919,15931,25494,21820,2.29,13.81,3.25,27.46,6.07,0.61,10.6,0.89,24.7,85.65,923.4,103.96,1960.97
2.76,5.73,91.43,2.42,1.06,21.53,82.07,28.18,2.21,30643,30489,19631,7823,69212,2727,44415,2.91,12.1,3.03,25.76,7.51,1.21,2.86,0.65,29.1,79.62,1053.1,181.86,2837.05
3.42,0.49,88.19,11.17,2.01,23.75,90.83,17.26,2.75,32427,32767,30445,0,29951,0,32229,1.77,12.06,2.67,27.33,3.92,0.41,4.81,0.21,24.5,78.72,621.3,99.47,2138.59
3.09,22.95,74.55,1.13,3.07,27.49,84.63,20.56,4.41,14016,14515,12384,17892,19823,7087,8254,7.35,24.15,5.37,30.1,9.94,4.23,15.46,2.32,29.3,74.05,503.3,494.37,2730.2
2.79,1.11,97.96,0.8,0.33,28.18,66.51,37.21,4.55,12687,12785,6875,0,9195,0,15971,7.54,21.41,5.82,31.76,5.98,0.64,24.77,0.31,23.3,81.87,631.1,536.23,2173.15
2.77,3.04,95.25,1.46,2.4,22.35,83.67,30.75,1.52,22675,22938,17816,7511,15337,21452,17969,2.51,12.62,2.57,28.08,6.24,1.02,8.34,0.64,26.4,86.05,4533.9,103.35,2381.26
3,0.42,98.11,1.14,0.97,24.16,86.33,20.78,1.58,24583,24794,21440,17665,13678,7111,11840,2.3,9.61,4.36,26.79,6.45,0.57,7.45,0.55,26.6,79.86,503.9,114.23,1975.16
2.7,1.2,93.59,4.94,1.67,20.64,80.91,29.27,2.17,52621,54572,17442,0,26403,27611,38134,1.94,7.27,2.25,25.54,5.1,0.53,17.12,0.54,27.1,80.27,1915.8,116.35,3601.46
